StressType	StressName	swap_id	swap_name
ABIOTIC	UV	1346	WS_UV_1 / WS_1
ABIOTIC	UV	1342	WS_UV_2 / WS_2
ABIOTIC	UV	1351	WS_UV_3 / WS_3
ABIOTIC	UV	1345	EBL87_UV_1 / EBL87_1
ABIOTIC	UV	1341	EBL87_UV_2 / EBL87_2
ABIOTIC	UV	1353	DML6_UV_1 / DML6_1
ABIOTIC	UV	1352	DML6_UV_2 / DML6_2
ABIOTIC	SALT	1401	NaCl_1 / Control_1
ABIOTIC	SALT	1402	NaCl_2 / Control_2
ABIOTIC	SALT	1400	NaCl_3 / Control_3
ABIOTIC	SALT	1261	ga1-3_30min_salt_1 / WT_30min_salt_1
ABIOTIC	SALT	1260	ga1-3_30min_salt_2 / WT_30min_salt_2
ABIOTIC	SALT	1265	penta_30min_salt_1 / WT_30min_salt_1
ABIOTIC	SALT	1269	penta_30min_salt_2 / WT_30min_salt_2
ABIOTIC	SALT	1262	ga1-3_1h_salt_1 / WT_1h_salt_1
ABIOTIC	SALT	1266	ga1-3_1h_salt_2 / WT_1h_salt_2
ABIOTIC	SALT	1268	penta_1h_salt_1 / WT_1h_salt_1
ABIOTIC	SALT	1267	penta_1h_salt_2 / WT_1h_salt_2
ABIOTIC	SALT	1371	25_dor2_salt_1 / 7_Col0_salt_1
ABIOTIC	SALT	1365	26_dor2_salt_2 / 8_Col0_salt_2
ABIOTIC	SALT	1366	23_dor2_drought_2 / 5_Col0_drought_2
ABIOTIC	SALT	1369	24_dor2_drought_3 / 6_Col0_drought_3
ABIOTIC	GAMMA	494	SIr_ROOT_1 / SNIr_ROOT_1
ABIOTIC	GAMMA	491	SIr_ROOT_2 / SNIr_ROOT_2
ABIOTIC	GAMMA	499	SIrSADE_1 / SNIrSADE_1
ABIOTIC	GAMMA	498	SIrSADE_2 / SNIrSADE_2
ABIOTIC	GAMMA	500	SIrSADE_3 / SNIrSADE_3
ABIOTIC	GAMMA	490	ATMIr_ROOT_2 / SIr_ROOT_2
ABIOTIC	GAMMA	492	ATMIr_ROOT_2 / ATMNIr_ROOT_2
ABIOTIC	GAMMA	495	ATMIr_ROOT_1 / ATMNIr_ROOT_1
ABIOTIC	GAMMA	502	SIr0.75h / S0.75h
ABIOTIC	GAMMA	503	SIr1.5h / S1.5h
ABIOTIC	GAMMA	508	SIr3h / S3h
ABIOTIC	GAMMA	506	SIr5h / S5h
